County,State,R0
Snohomish,Washington,24.97514631385263
Cook,Illinois,3.805720867775772
Orange,California,15.747575292699594
Maricopa,Arizona,11.433748135166455
Los Angeles,California,4.521470488810954
Santa Clara,California,54.55865720935771
Suffolk,Massachusetts,14.09475690492425
San Francisco,California,128.30441414513055
Dane,Wisconsin,238.6680863094298
San Diego,California,0.7354105914293849
Bexar,Texas,90.77932234075344
Douglas,Nebraska,1646.7045143982155
Humboldt,California,0.743798219445984
Sacramento,California,0.7377661064018715
Solano,California,0.7421196034266963
Spokane,Washington,0.7483863634785838
Salt Lake,Utah,0.7234408158402099
Marin,California,0.7486653468769363
Napa,California,0.6807323755601595
Sonoma,California,0.739767467199909
Washington,Oregon,0.7349544333700198
King,Washington,0.7299688647024369
Alameda,California,0.708963690427156
Hillsborough,Florida,0.7165593339777491
Manatee,Florida,0.6823920963510446
New York City,New York,0.6978630577954008
Unknown,Rhode Island,0.7011946343976831
Placer,California,0.7391871056641699
San Mateo,California,0.7221888017781157
Fulton,Georgia,0.7070767803987447
Norfolk,Massachusetts,0.6859231724215131
Grafton,New Hampshire,0.7580160703490005
Walla Walla,Washington,-0.9388042518719406
Contra Costa,California,0.7169003703441974
Wake,North Carolina,0.7147639571853518
Bergen,New Jersey,0.697590079010345
Westchester,New York,0.7153109874079886
Fort Bend,Texas,0.6984591929549067
Chelan,Washington,0.6983004099146952
Douglas,Colorado,0.7199453739296688
Jefferson,Colorado,0.7073675050838267
Santa Rosa,Florida,0.7155253116322943
Montgomery,Maryland,0.6759164900030931
Middlesex,Massachusetts,0.6738342038876085
Clark,Nevada,0.7038074642927752
Washoe,Nevada,0.7001586415313725
Nassau,New York,0.6974965843710961
Williamson,Tennessee,0.7271561798889217
Harris,Texas,0.6944087152365316
Pinal,Arizona,0.690018598923811
Yolo,California,0.7019921189275279
Denver,Colorado,0.6939677819782784
Eagle,Colorado,0.7293740080729793
El Paso,Colorado,0.7156660792990831
Broward,Florida,0.7048861155392128
Lee,Florida,0.7055008845440405
Polk,Georgia,0.6939330549485349
Honolulu,Hawaii,0.7250009247436104
Marion,Indiana,0.6959782986991264
Fayette,Kentucky,0.7261325800509558
Ramsey,Minnesota,0.6967294243929828
Camden,New Jersey,0.6709006521084562
Rockland,New York,0.7052901739478741
Chatham,North Carolina,0.009946211143252991
Tulsa,Oklahoma,0.7106332473292651
Delaware,Pennsylvania,0.6805063482979464
Wayne,Pennsylvania,0.7093095652646444
Charleston,South Carolina,0.7221895676914102
Kershaw,South Carolina,0.7373550613073238
Davis,Utah,0.7217918670914687
Washington,Utah,0.7080649711404312
Clark,Washington,0.718052995976619
Jefferson,Washington,0.7518678174591144
Pierce,Washington,0.714454022309216
Fresno,California,0.6813204383634717
Madera,California,0.7437055536915959
Riverside,California,0.6789273560043626
Santa Cruz,California,0.7324743455602193
District of Columbia,District of Columbia,0.684864541751508
Charlotte,Florida,0.6874679462548486
Okaloosa,Florida,0.717828337763831
Volusia,Florida,0.6953420090584743
Cobb,Georgia,0.698072673850663
Gwinnett,Georgia,0.6876085859769652
Johnson,Kansas,0.7159701682255445
Berkshire,Massachusetts,0.723509040503126
St. Louis,Missouri,0.6954160927866246
Rockingham,New Hampshire,0.7040118237345028
Saratoga,New York,0.7251032250442201
Jackson,Oregon,0.7423611548392033
Klamath,Oregon,0.7135227750745682
Montgomery,Pennsylvania,0.6938645334903502
Bennington,Vermont,0.7415993806133051
Fairfax,Virginia,0.6536299051715647
Kittitas,Washington,0.7669354377226023
Fairfield,Connecticut,0.6863295372713144
Cherokee,Georgia,0.6979331832229637
Hendricks,Indiana,0.6891621699936044
Johnson,Iowa,0.6887284948249692
Harrison,Kentucky,0.7741038972285433
Jefferson,Kentucky,0.6829375987048185
Harford,Maryland,0.6547799906008487
Worcester,Massachusetts,0.6712080788134939
Carver,Minnesota,0.759783730542079
Passaic,New Jersey,0.681322950028283
Suffolk,New York,0.6925067678221015
Ulster,New York,0.6935578493114717
Douglas,Oregon,0.7277468636040211
Marion,Oregon,0.7137125683309092
Spartanburg,South Carolina,0.7048849276135016
Davidson,Tennessee,0.7023846062351913
Shelby,Tennessee,0.6957177229199282
Kitsap,Washington,0.7323443344331734
Pima,Arizona,0.6945108454184489
Shasta,California,0.7331363786984506
Arapahoe,Colorado,0.6867547267157524
Larimer,Colorado,0.717562397066567
DeKalb,Georgia,0.6956674266638267
Fayette,Georgia,0.7152820458016165
Floyd,Georgia,0.7265849045371876
Noble,Indiana,0.3957861412505514
Pottawattamie,Iowa,0.6308432816531581
Jefferson,Louisiana,0.7002192433364594
Prince George's,Maryland,0.6638578539648204
Hudson,New Jersey,0.6805056565756709
Monmouth,New Jersey,0.7001271281234164
Union,New Jersey,0.6810990907101591
Cuyahoga,Ohio,0.7104817551614541
Monroe,Pennsylvania,0.7059570398999399
Collin,Texas,0.7109914193218282
Virginia Beach city,Virginia,0.7120358688019287
Pierce,Wisconsin,0.7711709035102743
San Joaquin,California,0.7090065799309683
Ventura,California,0.7115559560993303
Gunnison,Colorado,0.7403754504255872
Alachua,Florida,0.7222232934719918
Collier,Florida,0.7147090552320348
Nassau,Florida,0.7165020113976868
Pasco,Florida,0.7107153030928829
Pinellas,Florida,0.7133846992450388
Charlton,Georgia,1593.3177770278241
Kane,Illinois,0.6427450822235788
McHenry,Illinois,0.6801273421848599
Adams,Indiana,569.5243385659619
Boone,Indiana,0.6991372546091776
Orleans,Louisiana,0.7133783986530254
Essex,Massachusetts,0.6696753272977939
Oakland,Michigan,0.6986584491326358
Wayne,Michigan,0.6972585197031446
Anoka,Minnesota,0.638883804675054
Burlington,New Jersey,0.6779022518233822
Multnomah,Oregon,0.6991451345852927
Philadelphia,Pennsylvania,0.6763260318625294
Beadle,South Dakota,0.7579714446262061
Charles Mix,South Dakota,1972.079686282366
Davison,South Dakota,-425.41795331856434
Minnehaha,South Dakota,0.6504920502028866
Sullivan,Tennessee,0.7235864794117174
Dallas,Texas,0.6979087592810602
Montgomery,Texas,0.6911836412116127
Tarrant,Texas,0.6726576689296055
Weber,Utah,0.7189930070295236
Loudoun,Virginia,0.6887408611225634
Skagit,Washington,0.7249195254659182
Whatcom,Washington,0.7263339113413437
Jefferson,Arkansas,0.717157789011793
Stanislaus,California,0.6836471059038076
Pitkin,Colorado,0.7670848835006798
New Castle,Delaware,0.6882046623255216
Miami-Dade,Florida,0.6895986898896199
St. Johns,Florida,0.7232699730325345
Bartow,Georgia,0.7366235870268748
Lee,Georgia,0.7128394486911472
Lowndes,Georgia,0.690002809561951
Lake,Illinois,0.681546685816071
Howard,Indiana,0.5500798405732573
Johnson,Indiana,0.701238301626452
St. Joseph,Indiana,0.6655325246318341
Caddo,Louisiana,0.7000925270681433
Baltimore,Maryland,0.6791909536790669
Olmsted,Minnesota,0.707587682890414
Forrest,Mississippi,0.6923574432130837
Middlesex,New Jersey,0.6832135665769952
Bernalillo,New Mexico,0.702539914621191
Santa Fe,New Mexico,0.7320362283478001
Socorro,New Mexico,-1592.715025445177
Monroe,New York,0.703260374253985
Ward,North Dakota,0.7456483822649069
Stark,Ohio,0.692233685184509
Deschutes,Oregon,0.7311597753476629
Linn,Oregon,0.748552009964675
Polk,Oregon,0.7371929466785014
Umatilla,Oregon,0.6001877938070893
Bucks,Pennsylvania,0.681346589798191
Lancaster,South Carolina,0.7175306303661227
Bon Homme,South Dakota,0.4752742904641995
Gregg,Texas,0.7017363490172434
Chittenden,Vermont,0.7181423194321364
Arlington,Virginia,0.6813623938911797
Island,Washington,0.7338147067697877
Thurston,Washington,0.7322192391633884
Fond du Lac,Wisconsin,0.7423932875234823
Waukesha,Wisconsin,0.7175835904984477
Sheridan,Wyoming,0.7638097891221534
Anchorage,Alaska,0.7205451711505114
Pulaski,Arkansas,0.7109840315086984
Tulare,California,0.6832968068875376
Adams,Colorado,0.6829811009605609
Litchfield,Connecticut,0.6835211054497837
